brand,family,reference,name,movement,produced,caseMaterial,caseGlass,caseBack,caseShape,caseDiameter,caseHeight,caseLugWidth,dialColor,dialMaterial,dialIndexes,dialHands,limited
a. lange & söhne,1815,"421.032(aka: 421032f, 421032)",1815 rattrapante perpetual calendar pink gold,"a. lange & söhne caliber l101.1hours, minutes, small seconds | date, day, leap year, month, perpetual calendar | chronograph, column wheel, rattrapante | moonphase | power reserve indicator",2013,pink gold,sapphire,open,,41.90 mm,14.70 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,236.050,1815 200th anniversary f. a. lange,"a. lange & söhne caliber l051.1hours, minutes, small seconds",2015,honey gold,sapphire,open,round,40.00 mm,8.80 mm,,black,silver,arabic numerals,alpha,"yes, 200 units"
a. lange & söhne,1815,"730.048(aka: 730048f, 730048)",1815 tourbillon  handwerkskunst,"a. lange & söhne caliber l102.1hours, minutes, small seconds | tourbillon escapement",2015,pink gold,sapphire,open,,39.50 mm,11.10 mm,20.00 mm,silver,pink gold,arabic numerals,alpha,"yes, 30 units"
a. lange & söhne,1815,206.025,1815 white gold / silver,"a. lange & söhne caliber l941.1hours, minutes, small seconds",1995 - 2007,platinum,sapphire,open,rectangular,35.90 mm,7.50 mm,19.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,212.050,1815 moonphase f.a. lange homage,"a. lange & söhne caliber l943.2hours, minutes, small seconds | moonphase",2010 - 2013,honey gold,sapphire,open,round,37.40 mm,8.90 mm,19.00 mm,silver,silver,arabic numerals,alpha,"yes, 265 units"
a. lange & söhne,1815,233.026,1815 40 white gold / silver,"a. lange & söhne caliber l943.1hours, minutes, small seconds | moonphase",1999 - 2001,white gold,sapphire,open,round,40.00 mm,7.45 mm,19.00 mm,black,silver,arabic numerals,alpha,no
a. lange & söhne,1815,"421.025(aka: 421025, 421025f)",1815 rattrapante perpetual calendar platinum,"a. lange & söhne caliber l101.1hours, minutes, small seconds | date, day, leap year, month, perpetual calendar | chronograph, column wheel, rattrapante | moonphase | power reserve indicator",2013,platinum,sapphire,open,,41.90 mm,14.70 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,425.025,1815 rattrapante platinum / silver,"a. lange & söhne caliber l101.2hours, minutes, small seconds | chronograph, column wheel, rattrapante",2022,platinum,sapphire,open,round,41.20 mm,,,silver,silver,arabic numerals,alpha,"yes, 200 units"
a. lange & söhne,1815,233.032,1815 40 pink gold / silver,"a. lange & söhne caliber l051.1hours, minutes, small seconds",2009,rose gold,sapphire,open,round,40.00 mm,8.90 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,414.026,1815 chronograph boutique edition pulsometer,"a. lange & söhne caliber l951.5hours, minutes, small seconds | chronograph, column wheel, flyback",2015,,sapphire,open,round,39.50 mm,10.80 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,234.041,1815  up/down white gold / blue / wempe,"a. lange & söhne caliber l051.2hours, minutes, small seconds | power reserve indicator",2019,white gold,sapphire,open,,39.00 mm,8.90 mm,20.00 mm,blue,silver,arabic numerals,alpha,"yes, 25 units"
a. lange & söhne,1815,414.047,1815 chronograph “hampton court edition”,"a. lange & söhne caliber l951.5hours, minutes, small seconds | chronograph, column wheel, flyback",2022,pink gold,sapphire,hunter,round,39.50 mm,10.80 mm,20.00 mm,black,silver,arabic numerals,alpha,"yes, 1 unit"
a. lange & söhne,1815,233.021,1815 40 yellow gold,"a. lange & söhne caliber l051.1hours, minutes, small seconds",2009 - 2013,yellow gold,sapphire,open,round,40.00 mm,8.90 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,233.025,1815 40 platinum / silver,"a. lange & söhne caliber l051.1hours, minutes, small seconds",2009,platinum,sapphire,open,round,40.00 mm,8.90 mm,20.00 mm,silver,silver,arabic numerals,alpha,"yes, 500 units"
a. lange & söhne,1815,414.032(aka: 414032),1815 chronograph pink gold / silver / pulsometer,"a. lange & söhne caliber l951.5hours, minutes, small seconds | chronograph, column wheel, flyback",2018,pink gold,sapphire,open,round,39.50 mm,10.80 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,235.032(aka: 235032),1815 38.5 pink gold,"a. lange & söhne caliber l051.1hours, minutes, small seconds",2014,pink gold,sapphire,open,,38.50 mm,8.80 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,823.042,1815 chronograph diamond / mop blue,"a. lange & söhne caliber l951.0hours, minutes, small seconds | chronograph, column wheel, flyback",2009 - 2011,white gold,,,,39.50 mm,10.80 mm,20.00 mm,blue,mother of pearl,arabic numerals,alpha,no
a. lange & söhne,1815,297.032(aka: 297032),1815 homage to walter lange pink gold,"a. lange & söhne caliber l1924hours, minutes, small seconds, seconds | power reserve indicator",2017,pink gold,sapphire,open,round,40.50 mm,10.70 mm,,silver,silver,arabic numerals,alpha,"yes, 90 units"
a. lange & söhne,1815,323.046,1815 cuvette oeding-erdel,"a. lange & söhne caliber l921.2hours, minutes, small seconds",2006 - 2007,white gold,sapphire,hinged,,40.00 mm,10.20 mm,20.00 mm,silver,silver,arabic numerals,alpha,"yes, 38 units"
a. lange & söhne,1815,706.050,1815 tourbograph perpetual honey gold homage to f.a. lange,"a. lange & söhne caliber l133.1hours, minutes | date, day, leap year, month, perpetual calendar | chronograph, column wheel, flyback, rattrapante | moonphase | chain & fusée, tourbillon escapement",2020,honey gold,sapphire,open,round,43.00 mm,16.60 mm,,grey,honey gold,arabic numerals,alpha,"yes, 50 units"
a. lange & söhne,1815,221.021,1815 up / down yellow gold,"a. lange & söhne caliber l942.1hours, minutes, small seconds | power reserve indicator",1997 - 2008,yellow gold,sapphire,open,,35.90 mm,7.90 mm,19.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,402.032,1815 chronograph pink gold,"a. lange & söhne caliber l951.5hours, minutes, small seconds | chronograph, column wheel, flyback",2010,pink gold,sapphire,open,,39.50 mm,10.80 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,730.025,1815 tourbillon platinum,"a. lange & söhne caliber l102.1hours, minutes, small seconds | tourbillon escapement",2014,platinum,sapphire,open,,39.50 mm,11.10 mm,20.00 mm,silver,silver,arabic numerals,alpha,"yes, 100 units"
a. lange & söhne,1815,231.031,1815 moonphase emil lange pink gold,"a. lange & söhne caliber l943.1hours, minutes, small seconds | moonphase",1999 - 2001,pink gold,sapphire,open,,35.90 mm,7.45 mm,19.00 mm,black,silver,arabic numerals,alpha,"yes, 250 units"
a. lange & söhne,1815,401.031,1815 chronograph pink gold,"a. lange & söhne caliber l951.0hours, minutes, small seconds | chronograph, column wheel, flyback",2004 - 2008,pink gold,sapphire,open,,39.50 mm,10.80 mm,20.00 mm,black,silver,arabic numerals,alpha,no
a. lange & söhne,1815,238.032(aka: 238032),1815 annual calendar pink gold / silver,"a. lange & söhne caliber l051.3hours, minutes, small seconds | power reserve indicator",2017,pink gold,sapphire,open,round,40.00 mm,10.10 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,238.026(aka: 238026),1815 annual calendar white gold / silver,"a. lange & söhne caliber l051.3hours, minutes, small seconds | power reserve indicator",2017,white gold,sapphire,open,round,40.00 mm,10.10 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,297.021,1815 homage to walter lange yellow gold,"a. lange & söhne caliber l1924hours, minutes, small seconds, seconds | power reserve indicator",2017,yellow gold,sapphire,open,round,40.50 mm,10.70 mm,,silver,silver,arabic numerals,alpha,"yes, 27 units"
a. lange & söhne,1815,297.026(aka: 297026),1815 homage to walter lange white gold,"a. lange & söhne caliber l1924hours, minutes, small seconds, seconds | power reserve indicator",2017,white gold,sapphire,open,round,40.50 mm,10.70 mm,,silver,silver,arabic numerals,alpha,"yes, 145 units"
a. lange & söhne,1815,730.079(aka: 730079),1815 tourbillon platinum / enamel,"a. lange & söhne caliber l102.1hours, minutes, small seconds | tourbillon escapement",2018,platinum,sapphire,open,,39.50 mm,11.10 mm,20.00 mm,white,enamel,arabic numerals,alpha,"yes, 100 units"
a. lange & söhne,1815,234.021,1815  up/down yellow gold,"a. lange & söhne caliber l051.2hours, minutes, small seconds | power reserve indicator",2013,yellow gold,sapphire,open,,39.00 mm,8.90 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,234.032(aka: 234032),1815 up/down pink gold,"a. lange & söhne caliber l051.2hours, minutes, small seconds | power reserve indicator",2013,pink gold,sapphire,open,,39.00 mm,8.90 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,401.026,1815 chronograph white gold,"a. lange & söhne caliber l951.0hours, minutes, small seconds | chronograph, column wheel, flyback",2004 - 2008,white gold,sapphire,open,,39.50 mm,10.80 mm,20.00 mm,silver,silver,arabic numerals,alpha,no
a. lange & söhne,1815,223.032,1815 up / down walter lange,"a. lange & söhne caliber l942.1hours, minutes, small seconds | power reserve indicator",2007 - 2008,rose gold,sapphire,hinged,,37.50 mm,9.00 mm,19.00 mm,white,silver,arabic numerals,alpha,"yes, 50 units"
a. lange & söhne,1815,404.047,double split sincere pink,"a. lange & söhne caliber l001.1hours, minutes, small seconds | chronograph, column wheel, flyback, rattrapante | power reserve indicator",2005 - 2005,pink gold,sapphire,open,,43.20 mm,15.30 mm,22.00 mm,black,,roman numerals,alpha,"yes, 10 units"
a. lange & söhne,1815,823.029,1815 chronograph diamond / mop,"a. lange & söhne caliber l951.0hours, minutes, small seconds | chronograph, column wheel, flyback",2009 - 2009,white gold,sapphire,open,,39.50 mm,10.80 mm,20.00 mm,white,mother of pearl,arabic numerals,alpha,"yes, 3 units"
a. lange & söhne,arkade,103.021,arkade yellow gold / champagne,"a. lange & söhne caliber l911.4hours, minutes, small seconds | big date",1997 - 2009,yellow gold,,,,29.00 mm,8.40 mm,14.00 mm,champagne,,,,no
a. lange & söhne,arkade,812.029,grande arkade blue diamond,"a. lange & söhne caliber l911.4hours, minutes, small seconds | big date",2002 - 2006,white gold,sapphire,open,rectangular,38.00 mm,8.70 mm,18.00 mm,blue,,roman numerals,alpha,no
a. lange & söhne,cabaret,703.048,cabaret tourbillon handwerkskunst,"a. lange & söhne caliber l042.1hours, minutes, small seconds | big date | power reserve indicator",2021 - 2021,platinum,sapphire,open,rectangular,39.20 mm,10.30 mm,22.00 mm,grey,enamel,mixed,alpha,"yes, 30 units"
a. lange & söhne,cabaret,107.031,cabaret pink gold black / silver,"a. lange & söhne caliber l931.3hours, minutes, small seconds | big date",1997 - 2010,pink gold,sapphire,,,36.30 mm,9.10 mm,19.00 mm,black,,mixed,alpha,no
a. lange & söhne,cabaret,118.032,cabaret moonphase,"a. lange & söhne caliber l931.5hours, minutes, small seconds | big date | moonphase",2005 - 2009,pink gold,sapphire,open,,36.30 mm,9.10 mm,19.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,cabaret,157.131,cabaret rose gold / black,"a. lange & söhne caliber l931.3hours, minutes, small seconds | big date",1999 - 2009,rose gold,sapphire,,rectangular,36.30 mm,9.10 mm,19.00 mm,black,,mixed,alpha,no
a. lange & söhne,cabaret,703.032,cabaret tourbillon pink gold,"a. lange & söhne caliber l042.1hours, minutes, small seconds | big date | power reserve indicator",2008 - 2013,pink gold,sapphire,open,,39.20 mm,10.30 mm,22.00 mm,silver,,mixed,alpha,no
a. lange & söhne,cabaret,118.021,cabaret moonphase yellow gold / silver,"a. lange & söhne caliber l931.5hours, minutes, small seconds | big date | moonphase",2005 - 2009,yellow gold,sapphire,open,,36.30 mm,9.10 mm,19.00 mm,silver,,mixed,alpha,no
a. lange & söhne,cabaret,107.021,cabaret yellow gold / champagne,"a. lange & söhne caliber l931.3hours, minutes, small seconds | big date",1998 - 2010,yellow gold,,,,36.30 mm,9.10 mm,19.00 mm,champagne,,,,no
a. lange & söhne,cabaret,157.132,cabaret rose gold / silver / bracelet,"a. lange & söhne caliber l931.3hours, minutes, small seconds | big date",1999 - 2010,rose gold,sapphire,open,rectangular,36.30 mm,9.10 mm,19.00 mm,silver,,stick / dot,,no
a. lange & söhne,cabaret,107.032,cabaret pink gold,"a. lange & söhne caliber l931.3hours, minutes, small seconds | big date",1998 - 2009,pink gold,sapphire,open,,36.30 mm,9.10 mm,19.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,cabaret,703.025,cabaret tourbillon platinum,"a. lange & söhne caliber l042.1hours, minutes, small seconds | big date | power reserve indicator",2008 - 2013,platinum,sapphire,open,,39.20 mm,10.30 mm,22.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,lange 1,117.032(aka: 117032),grand lange 1 pink gold / silver,"a. lange & söhne caliber l095.1hours, minutes, small seconds | big date",2012,pink gold,sapphire,open,round,40.90 mm,8.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,704.048(aka: 704048),lange 1 tourbillon handwerkskunst,"a. lange & söhne caliber l961.3hours, minutes, small seconds | big date | power reserve indicator, tourbillon escapement",2014 - 2015,platinum,sapphire,open,round,38.50 mm,10.20 mm,20.00 mm,black,enamel,mixed,alpha,"yes, 20 units"
a. lange & söhne,lange 1,819.049,little lange 1 moonphase white gold - diamond / blue mop,a. lange & söhne caliber l901.9,2009 - 2010,white gold,sapphire,open,round,36.80 mm,10.40 mm,20.00 mm,blue,mother of pearl,mixed,alpha,"yes, 150 units"
a. lange & söhne,lange 1,119.026,lange 1 moonphase ursa major,"a. lange & söhne caliber l901.8hours, minutes, small seconds | big date | moonphase | power reserve indicator",2003 - 2003,white gold,sapphire,open,round,42.00 mm,11.00 mm,,silver,,mixed,alpha,"yes, 101 units"
a. lange & söhne,lange 1,181.037(aka: 181037),kleine lange 1 pink gold / brown,"a. lange & söhne caliber l121.1hours, minutes, small seconds | big date | power reserve indicator",2018,pink gold,sapphire,open,round,36.80 mm,,19.00 mm,brown,yellow gold,mixed,alpha,no
a. lange & söhne,lange 1,101.026,lange 1 stainless steel,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",1998 - 1999,stainless steel,sapphire,open,round,38.50 mm,9.80 mm,,white,,mixed,alpha,"yes, 20 units"
a. lange & söhne,lange 1,101.039,lange 1 white gold / silver,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",2009 - 2015,white gold,sapphire,open,round,38.50 mm,10.00 mm,20.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,lange 1,101.025,lange 1 platinum stealth,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",1994 - 2015,,sapphire,open,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,722.050,lange 1 tourbillon homage to f.a. lange,"a. lange & söhne caliber l961.2hours, minutes, small seconds | big date | power reserve indicator",2010 - 2013,honey gold,sapphire,open,round,38.50 mm,9.80 mm,20.00 mm,silver,yellow gold,mixed,alpha,"yes, 150 units"
a. lange & söhne,lange 1,345.056,lange 1 perpetual calendar white gold / pink,"a. lange & söhne caliber l021.3hours, minutes, small seconds | big date, day, leap year, month, perpetual calendar | moonphase",2020,white gold,sapphire,open,round,41.90 mm,12.10 mm,22.00 mm,pink,pink gold,mixed,alpha,no
a. lange & söhne,lange 1,191.032(aka: 191032),lange 1 pink gold / silver,"a. lange & söhne caliber l121.1hours, minutes, small seconds | big date | power reserve indicator",2015,pink gold,sapphire,open,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,111.025,kleine lange 1 platinum,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",1998 - 1999,platinum,sapphire,open,round,36.10 mm,9.80 mm,,black,,mixed,alpha,no
a. lange & söhne,lange 1,191.039,lange 1 white gold / silver,"a. lange & söhne caliber l121.1hours, minutes, small seconds | big date | power reserve indicator",2016,white gold,sapphire,open,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,192.029(aka: 192029),lange 1 moonphase day / night white gold / black,"a. lange & söhne caliber l121.3hours, minutes, small seconds, day / night indication | big date | power reserve indicator",2016,white gold,sapphire,open,round,38.50 mm,10.50 mm,20.00 mm,black,silver,mixed,alpha,no
a. lange & söhne,lange 1,116.032,lange 1 timezone pink gold / silver,"a. lange & söhne caliber l031.1hours, minutes, small seconds, additional 12 hour hand (adjustable), day / night indication | big date | power reserve indicator",2005,pink gold,sapphire,open,round,41.90 mm,11.00 mm,,silver,silver,mixed,alpha,no
a. lange & söhne,lange 1,110.030,lange 1 soirée white gold,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",2001 - 2009,,sapphire,open,round,38.50 mm,9.80 mm,,white,mother of pearl,mixed,alpha,no
a. lange & söhne,lange 1,116.025(aka: 116025),lange 1 timezone platinum / silver,"a. lange & söhne caliber l031.1hours, minutes, small seconds, additional 12 hour hand (adjustable), day / night indication | big date | power reserve indicator",2005,platinum,sapphire,open,round,41.90 mm,11.00 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,192.025(aka: 192025),lange 1 moonphase day / night platinum / silver,"a. lange & söhne caliber l121.3hours, minutes, small seconds, day / night indication | big date | power reserve indicator",2016,platinum,sapphire,open,round,38.50 mm,10.50 mm,20.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,lange 1,116.033,lange 1 time zone rose gold / grey,"a. lange & söhne caliber l031.1hours, minutes, small seconds, additional 12 hour hand (adjustable), day / night indication | big date | power reserve indicator",2009 - 2013,rose gold,sapphire,open,round,41.90 mm,11.00 mm,22.00 mm,grey,,mixed,alpha,no
a. lange & söhne,lange 1,190.029,lange 1 moonphase day / night white gold / black,"a. lange & söhne caliber l121.3hours, minutes, small seconds, day / night indication | big date | power reserve indicator",2016,white gold,sapphire,open,round,38.50 mm,10.50 mm,20.00 mm,black,silver,mixed,alpha,no
a. lange & söhne,lange 1,191.025(aka: 191025),lange 1 platinum / silver,"a. lange & söhne caliber l121.1hours, minutes, small seconds | big date | power reserve indicator",2015,platinum,sapphire,open,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,101.032,lange 1 pink gold,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",1994 - 2015,pink gold,sapphire,open,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,115.029,grand  lange 1 luminous,"a. lange & söhne caliber l901.2hours, minutes, small seconds | big date | power reserve indicator",2004 - 2008,white gold,sapphire,open,round,40.90 mm,8.80 mm,,black,,mixed,alpha,no
a. lange & söhne,lange 1,115.028,grand lange 1 luminous white gold / black,"a. lange & söhne caliber l901.2hours, minutes, small seconds | big date | power reserve indicator",2010 - 2013,white gold,sapphire,open,round,41.90 mm,11.00 mm,22.00 mm,black,,mixed,alpha,no
a. lange & söhne,lange 1,137.038,grand lange 1 white gold / grey,"a. lange & söhne caliber l095.1hours, minutes, small seconds | big date",2022,white gold,sapphire,open,round,41.00 mm,8.20 mm,,grey,silver,mixed,alpha,no
a. lange & söhne,lange 1,101.002,lange 1 yellow gold painted,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",1994 - 1997,yellow gold,sapphire,closed,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,109.025,lange 1 moonphase platinum,"a. lange & söhne caliber l901.5hours, minutes, small seconds | big date | moonphase | power reserve indicator",2003,platinum,sapphire,open,round,38.50 mm,10.40 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,115.031,grand  lange 1 pink gold / black & grey,"a. lange & söhne caliber l901.2hours, minutes, small seconds | big date | power reserve indicator",2003 - 2008,pink gold,sapphire,open,round,40.90 mm,8.80 mm,,black,,mixed,alpha,no
a. lange & söhne,lange 1,117.035,grand lange 1 lumen,a. lange & söhne caliber l095.2,2013 - 2015,platinum,sapphire,open,round,40.90 mm,9.80 mm,20.00 mm,skeleton,sapphire,mixed,alpha,"yes, 200 units"
a. lange & söhne,lange 1,139.025,grand lange 1 moonphase platinum / silver,"a. lange & söhne caliber l095.3hours, minutes, small seconds | big date | moonphase | power reserve indicator",2014,platinum,sapphire,open,round,41.00 mm,9.50 mm,20.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,lange 1,192.032,lange 1 moonphase day / night pink gold / silver,"a. lange & söhne caliber l121.3hours, minutes, small seconds, day / night indication | big date | power reserve indicator",2016,pink gold,sapphire,open,round,38.50 mm,10.50 mm,20.00 mm,silver,silver,mixed,alpha,no
a. lange & söhne,lange 1,181.066,kleine lange 1 white gold / 25th anniversary,"a. lange & söhne caliber l121.1hours, minutes, small seconds | big date | power reserve indicator",2018,white gold,sapphire,open,round,36.80 mm,,19.00 mm,silver,yellow gold,mixed,alpha,"yes, 25 units"
a. lange & söhne,lange 1,720.066(aka: 720066),lange 1 tourbillon perpetual calendar white gold / 25th anniversary,"a. lange & söhne caliber l082.1additional 24 hour hand (adjustable), hours, minutes, small seconds | date, day, leap year, month, perpetual calendar | moonphase | tourbillon escapement",2019,white gold,sapphire,open,round,41.90 mm,12.20 mm,22.00 mm,silver,silver,mixed,alpha,"yes, 25 units"
a. lange & söhne,lange 1,101.021,lange 1 yellow gold,"a. lange & söhne caliber l901.0hours, minutes, small seconds | big date | power reserve indicator",1995 - 2015,yellow gold,sapphire,open,round,38.50 mm,9.80 mm,,silver,,mixed,alpha,no
a. lange & söhne,lange 1,115.032,grand lange 1 pink gold,"a. lange & söhne caliber l901.2hours, minutes, small seconds | big date | power reserve indicator",2008 - 2013,pink gold,sapphire,open,round,41.90 mm,11.00 mm,22.00 mm,silver,,mixed,alpha,no
a. lange & söhne,lange 1,813.044,kleine lange 1 soirée white gold,"a. lange & söhne caliber l901.4hours, minutes, small seconds | power reserve indicator",2008 - 2009,white gold,sapphire,open,round,36.10 mm,10.00 mm,19.00 mm,white,mother of pearl,mixed,alpha,no
a. lange & söhne,lange 1,116.025b,lange 1 timezone sincere singapore,"a. lange & söhne caliber l031.1hours, minutes, small seconds, additional 12 hour hand (adjustable), day / night indication | big date | power reserve indicator",2005 - 2006,platinum,sapphire,open,round,41.90 mm,11.00 mm,22.00 mm,silver,silver,mixed,alpha,"yes, 60 units"
